Id,TIPO_PLACA,ANIO_DE_FABRICACION,CILINDRADA,CANTIDAD_DE_CILINDROS,CANTIDAD_DE_PUERTAS,VALOR_DEL_VEHICULO,COLORES,FECHA_DE_IMPORTACION,IMP_VALOR_DEL_VEHICULO,FECHA_DE_INGRESO,ANIO_INGRESO,MES_INGRESO,CLASE,PERTENENCIA,MARCA,MODELO,CAPACIDAD,COMBUSTIBLE,ADUANA,CONDICION_INGRESO,PROPIETARIO_DEPARTAMENTO,PROPIETARIO_MUNICIPIO,ESTADO
88888,PARTICULAR,1988,0,0,0,0,CELESTE,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.5,DIESEL,,VEHICULO USADO,SAN MIGUEL,SAN MIGUEL,ALTA
88889,PARTICULAR,1988,0,0,0,0,ROJO,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,1.5,GASOLINA,,VEHICULO USADO,SAN VICENTE,SAN VICENTE,ALTA
88890,PARTICULAR,2013,1100,4,5,10080,GRIS,5/11/2012,10080,28/11/2012,2012,11,AUTOMOVIL,PLAZOS,HYUNDAI,I 10 GLS,5,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,ALTA
88891,CAMION,2004,4800,4,2,5835.42,BLANCO/ROJO C/F MULTICOLOR,20/9/2013,5835.42,17/12/2013,2013,12,CAMION PESADO,PROPIEDAD,ISUZU,NPR,4,DIESEL,TRANSAUTO S.A. DE C.V.,VEHICULO USADO,CUSCATLAN,EL CARMEN,ALTA
88892,PARTICULAR,1984,0,0,4,5142.86,BLANCO,,5142.86,28/7/1994,1994,7,AUTOMOVIL,PROPIEDAD,TOYOTA,COROLLA,5,GASOLINA,,VEHICULO USADO,LA UNION,SANTA ROSA LIMA,BAJA
88893,PARTICULAR,1985,0,0,0,0,BEIGE CAFE,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,1,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88894,PARTICULAR,1984,0,0,0,0,BLANCO,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,ALTA
88895,PARTICULAR,1985,0,0,0,0,GRIS,,0,31/10/1988,1988,10,AUTOMOVIL,PROPIEDAD,FORD,ESCORT,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,MEJICANOS,ALTA
88896,PARTICULAR,2000,1800,4,4,2944.49,OCRE,7/4/2008,2944.49,17/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,KIA,SEPHIA LS,5,GASOLINA,DEPOSITO TEMPORAL LA ROCA,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,ALTA
88897,PARTICULAR,2010,2400,4,4,2624.51,BLANCO,26/8/2013,2624.51,17/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,MITSUBISHI,LANCER,5,GASOLINA,AGDOSA - APOPA,VEHICULO USADO,LA LIBERTAD,ZARAGOZA,ALTA
88898,PARTICULAR,1988,0,0,0,0,BLANCO,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.5,DIESEL,,VEHICULO USADO,SONSONATE,SONSONATE,ALTA
88899,PARTICULAR,1988,0,0,0,0,VERDE,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.5,DIESEL,,VEHICULO USADO,LA PAZ,SAN LUIS TALPA,BAJA
88900,PARTICULAR,1988,0,0,0,0,AZUL C/F GRIS,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.5,DIESEL,,VEHICULO USADO,SAN SALVADOR,EL PAISNAL,ALTA
88901,PARTICULAR,2008,2000,4,4,2473.28,AZUL,20/11/2013,2473.28,17/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,SUZUKI,FORENZA,5,GASOLINA,SAN BARTOLO (SAN SALVADOR),VEHICULO USADO,CHALATENANGO,EL PARAISO,ALTA
88902,PARTICULAR,1988,0,0,0,0,OCRE,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.5,DIESEL,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88903,PARTICULAR,1988,0,0,0,0,GRIS AZUL,,0,25/11/1988,1988,11,AUTOMOVIL,PROPIEDAD,NISSAN,PATHFINDER,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88904,PARTICULAR,1988,0,0,0,0,DORADO BEIGE,,0,25/11/1988,1988,11,MICROBUS,PLAZOS,NISSAN,1200,8,GASOLINA,,VEHICULO USADO,SAN SALVADOR,ILOPANGO,BAJA
